placename,state,uhitmin
Atlanta ,Georgia,0.17
Austin ,Texas,0.02
Baltimore ,Maryland,0.89
Birmingham ,Alabama,0.64
Boston ,Massachusetts,-0.19
Buffalo ,New York,-0.18
Charlotte ,North Carolina,0.29
Chicago ,Illinois,0.35
Cincinnati ,Ohio,0.12
Cleveland ,Ohio,0.88
Columbus ,Ohio,0.42
Dallas ,Texas,0.69
Denver ,Colorado,0.07
Detroit ,Michigan,0.82
Hartford ,Connecticut,0.4
Houston ,Texas,0.22
Indianapolis ,Indiana,0.22
Jacksonville ,Florida,0.55
Kansas City ,Missouri,0.28
Las Vegas ,Nevada,-0.98
Los Angeles ,California,1.44
Louisville ,Kentucky,1.13
Memphis ,Tennessee,0.23
Miami ,Florida,0.77
Milwaukee ,Wisconsin,0.12
Minneapolis ,Minnesota,0.89
Nashville ,Tennessee,0.12
New Orleans ,Louisiana,0.15
New York ,New York,0.47
Oklahoma City ,Oklahoma,0.22
Orlando ,Florida,0.06
Philadelphia ,Pennsylvania,0.14
Phoenix ,Arizona,0.29
Pittsburgh ,Pennsylvania,0.25
Portland ,Oregon,0.47
Providence ,Rhode Island,-0.33
Raleigh ,North Carolina,0.1
Richmond ,Virginia,0
Riverside ,California,-3.62
Sacramento ,California,0.51
Salt Lake City ,Utah,1.25
San Antonio ,Texas,0.51
San Diego ,California,0.36
San Francisco ,California,0.58
San Jose ,California,0.24
Seattle ,Washington,0.52
St. Louis ,Missouri,0.7
Tampa ,Florida,0.6
Virginia Beach ,Virginia,0.6
Washington ,DC,0.65