placename,uhitmin
Las Vegas,10.3
Albuquerque,9.7
Portland,8.9
"Washington, DC",7.1
San Diego,7.1
Louisville,7
Pheonix,6.8
Buffalo,6.4
Minneapolis,6.1
Philadelphia,6
New York,5.7
Los Angeles,0.7
Boise,5.6
Denver,5.6
Kansas City,5.6
Detroit,5.2
Dallas,5.2
Columbus,5.2
St. Louis,5.2
Rochester,5
Seattle,4.8
Memphis,4.8
Richmond,4.6
Jacksonville,4.6
Miami,4.5
Nashville,4.3
New Orleans,4.2
Baltimore,4
Tampa,4
Cleveland,3.9
Atlanta,3.9
Milwaukee,3.9
Des Moines,3.7
Albany,3.5
Knoxville,3.5
Chicago,3.4
Houston,3.3
Pittsburgh,3.3
Raleigh,3.3
Boston,3.2
Tulsa,2.9
Syracuse,2.8
Hartford,2.7
Indianapolis,2.7
Columbia,2.5
Baton Rouge,2.5
Tucson,2.4
Norfolk,2.4
Providence,2.4
Birmingham,2.4
San Antonio,2.1
Wichita,2.1
Cincinnati,2
Grand Rapids,1.9
Oklahoma City,1.8
Dayton,1.6
Allenton,1.2
Sacramento,-0.4
Austin,-0.7
Charlotte,-1